"study","varname","dataset","concept","description","description_long","boost"
""#### 2001\n* SOEPcore: {{/soep-core/data/qp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/rh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/rkind/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/rp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/sh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/skind/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/sp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/th/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/tkind/welle}}\n"", 
""#### 2001\n* SOEPcore: {{/soep-core/data/tp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/uh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/ukind/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/up/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/vh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/vkind/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/vp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/wh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/wkind/welle}}\n"", 
""#### 2001\n* SOEPcore: {{/soep-core/data/wp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/xh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/xkind/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/xp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/yh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/ykind/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/yp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/zh/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/zkind/welle}}\n"", 
""#### 2001\n* SOEPcore: {{/soep-core/data/zp/welle}}\n"", ""#### 2001\n* SOEPcore: {{/soep-core/data/zvp/welle}}\n"")
c(""#### 2002\n* SOEPcore: {{/soep-core/data/ah/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ahbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/akind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ap/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/apausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/apbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bah/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bap/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bavp/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/bbh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bbp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bbvp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bch/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bcp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bcvp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bdh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bdp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bdp_mig/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/bdvp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/beh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bep/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bep_mig/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/beschool/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bevp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bfh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bfp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bfp_mig/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/bfschool/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bfvp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bhbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/bpbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ch/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/chbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ckind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/cp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/cpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/cpbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/dh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/dhbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/dkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/dp/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/dpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/dpbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/eh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ehbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ekind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ep/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/epausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ev/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/fh/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/fhbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/fkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/fp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/fpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/gh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ghbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ghost/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/gkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/gp/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/gpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/gpost/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/hh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/hhbrutto/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/hkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/hp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/hpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ih/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ikind/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/ip/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ipausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/jh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/jkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/jp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/jpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/kh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/kkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/kp/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/kpausl/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/lh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/lkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/lp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/mh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/mkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/mp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/nh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/nkind/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/np/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/oh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/okind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/op/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ph/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/pkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/pp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/qh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/qkind/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/qp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/rh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/rkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/rp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/sh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/skind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/sp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/th/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/tkind/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/tp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/uh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ukind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/up/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/vh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/vkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/vp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/wh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/wkind/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/wp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/xh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/xkind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/xp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/yh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/ykind/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/yp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/zh/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/zkind/welle}}\n"", 
""#### 2002\n* SOEPcore: {{/soep-core/data/zp/welle}}\n"", ""#### 2002\n* SOEPcore: {{/soep-core/data/zvp/welle}}\n"")
c(""#### 2003\n* SOEPcore: {{/soep-core/data/ah/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ahbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/akind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ap/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/apausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/apbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bah/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bap/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bavp/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/bbh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bbp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bbvp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bch/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bcp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bcvp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bdh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bdp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bdp_mig/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/bdvp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/beh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bep/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bep_mig/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/beschool/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bevp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bfh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bfp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bfp_mig/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/bfschool/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bfvp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bhbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/bpbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ch/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/chbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ckind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/cp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/cpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/cpbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/dh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/dhbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/dkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/dp/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/dpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/dpbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/eh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ehbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ekind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ep/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/epausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ev/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/fh/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/fhbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/fkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/fp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/fpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/gh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ghbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ghost/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/gkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/gp/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/gpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/gpost/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/hh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/hhbrutto/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/hkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/hp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/hpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ih/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ikind/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/ip/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ipausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/jh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/jkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/jp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/jpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/kh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/kkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/kp/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/kpausl/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/lh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/lkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/lp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/mh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/mkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/mp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/nh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/nkind/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/np/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/oh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/okind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/op/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ph/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/pkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/pp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/qh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/qkind/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/qp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/rh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/rkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/rp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/sh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/skind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/sp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/th/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/tkind/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/tp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/uh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ukind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/up/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/vh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/vkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/vp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/wh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/wkind/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/wp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/xh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/xkind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/xp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/yh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/ykind/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/yp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/zh/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/zkind/welle}}\n"", 
""#### 2003\n* SOEPcore: {{/soep-core/data/zp/welle}}\n"", ""#### 2003\n* SOEPcore: {{/soep-core/data/zvp/welle}}\n"")
c(""#### 2004\n* SOEPcore: {{/soep-core/data/ah/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ahbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/akind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ap/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/apausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/apbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bah/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bap/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bavp/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/bbh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bbp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bbvp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bch/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bcp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bcvp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bdh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bdp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bdp_mig/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/bdvp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/beh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bep/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bep_mig/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/beschool/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bevp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bfh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bfp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bfp_mig/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/bfschool/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bfvp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bhbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bkind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bpausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/bpbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ch/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/chbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ckind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/cp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/cpausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/cpbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/dh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/dhbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/dkind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/dp/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/dpausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/dpbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/eh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ehbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ekind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ep/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/epausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ev/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/fh/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/fhbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/fkind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/fp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/fpausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/gh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ghbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ghost/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/gkind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/gp/welle}}\n"", 
""#### 2004\n* SOEPcore: {{/soep-core/data/gpausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/gpost/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/hh/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/hhbrutto/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/hkind/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/hp/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/hpausl/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ih/welle}}\n"", ""#### 2004\n* SOEPcore: {{/soep-core/data/ikind/welle}}\n"", 
